mosquito-1  | 09:35:52  ==================================================================
mosquito-1  | 09:35:52  모기 비행 궤적 예측 v34 (XGBoost + cv_smooth + 3-Phase Pseudo-label + 게이팅)
mosquito-1  | 09:35:52  ==================================================================
mosquito-1  | 09:36:07  Train: 10000개  |  Test: 10000개
mosquito-1  | 09:36:07  [CV-last]   R-Hit=0.5788  MeanDist=1.29cm
mosquito-1  | 09:36:08  [CT (피처용)] weight 평균: 0.416
mosquito-1  | 09:36:08  Kalman 스무딩 계산 중...
mosquito-1  | 09:36:10  [cv_smooth 앵커] R-Hit=0.5812  MeanDist=1.36cm
mosquito-1  | 09:36:10  피처 생성 중...
mosquito-1  | 09:36:22  피처 수: 383
mosquito-1  | 09:36:22  
mosquito-1  | === Phase 1: 기본 5-Fold 학습 ===
mosquito-1  | 09:37:28    [P1] Fold 1/5  R-Hit=0.6205  (n_tr=40,000+0pseudo)
mosquito-1  | 09:38:12    [P1] Fold 2/5  R-Hit=0.6155  (n_tr=40,000+0pseudo)
mosquito-1  | 09:38:56    [P1] Fold 3/5  R-Hit=0.6175  (n_tr=40,000+0pseudo)
mosquito-1  | 09:39:31    [P1] Fold 4/5  R-Hit=0.6160  (n_tr=40,000+0pseudo)
mosquito-1  | 09:40:06    [P1] Fold 5/5  R-Hit=0.6125  (n_tr=40,000+0pseudo)
mosquito-1  | 09:40:06  
mosquito-1  | [v34-Phase1-OOF]  R-Hit=0.6164  MeanDist=1.20cm
mosquito-1  | 09:40:06  [Pseudo-P1→P2] 4000개 선택  (fold std ≤ 0.203cm)
mosquito-1  | 09:40:06  
mosquito-1  | === Phase 2: Phase-1 Pseudo-label 재학습 ===
mosquito-1  | 09:41:05    [P2] Fold 1/5  R-Hit=0.6215  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:41:40    [P2] Fold 2/5  R-Hit=0.6165  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:42:15    [P2] Fold 3/5  R-Hit=0.6185  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:42:50    [P2] Fold 4/5  R-Hit=0.6170  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:43:25    [P2] Fold 5/5  R-Hit=0.6165  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:43:25  
mosquito-1  | [v34-Phase2-OOF]  R-Hit=0.6180  MeanDist=1.20cm
mosquito-1  | 09:43:28  [Phase2-Gated] R-Hit=0.6504  개선율=61.4%
mosquito-1  | 09:43:28  [Pseudo-P2→P3] 4000개 선택  (fold std ≤ 0.159cm)
mosquito-1  | 09:43:28  
mosquito-1  | === Phase 3: Phase-2 Gated Pseudo-label 재학습 ===
mosquito-1  | 09:44:27    [P3] Fold 1/5  R-Hit=0.6250  (n_tr=40,000+4000pseudo)
mosquito-1  | 09:45:02    [P3] Fold 2/5  R-Hit=0.6185  (n_tr=40,000+4000pseudo)
